linha;stanford;COERENCIA.FINAL;yield;precisao
66;1;1;308;0.608695652
67;1;0;308;0.607495069
68;1;1;309;0.608267717
69;1;0;309;0.607072692
76;1;1;310;0.607843137
77;1;0;310;0.60665362
78;1;1;311;0.607421875
79;1;1;312;0.608187135
87;1;1;313;0.608949416
88;1;1;314;0.609708738
89;1;0;314;0.608527132
