linha;lys;coerencia;yield;precisao
665;1;0;149;0.510273973
667;1;0;149;0.508532423
668;1;0;149;0.506802721
672;1;0;149;0.505084746
686;1;1;150;0.506756757
700;1;0;150;0.505050505
701;1;0;150;0.503355705
702;1;0;150;0.501672241
703;1;0;150;0.5
705;1;0;150;0.49833887
706;1;0;150;0.496688742
712;1;0;150;0.495049505
714;1;1;151;0.496710526
717;1;1;152;0.498360656
718;1;0;152;0.496732026
719;1;0;152;0.495114007
721;1;1;153;0.496753247
722;1;1;154;0.498381877
724;1;1;155;0.5
725;1;0;155;0.498392283
726;1;0;155;0.496794872
728;1;1;156;0.498402556
732;1;1;157;0.5
733;1;1;158;0.501587302
739;1;0;158;0.5
740;1;1;159;0.501577287
743;1;1;160;0.503144654
745;1;1;161;0.504702194
747;1;1;162;0.50625
748;1;1;163;0.507788162
749;1;1;164;0.50931677
754;1;1;165;0.510835913
755;1;0;165;0.509259259
756;1;0;165;0.507692308
757;1;0;165;0.506134969
773;1;1;166;0.50764526
778;1;0;166;0.506097561
779;1;0;166;0.504559271
780;1;0;166;0.503030303
781;1;0;166;0.501510574
784;1;1;167;0.503012048
787;1;0;167;0.501501502
789;1;1;168;0.502994012
790;1;1;169;0.504477612
791;1;1;170;0.505952381
792;1;1;171;0.507418398
794;1;0;171;0.50591716
800;1;0;171;0.504424779
801;1;0;171;0.502941176
802;1;0;171;0.501466276
803;1;0;171;0.5
806;1;1;172;0.501457726
808;1;1;173;0.502906977
810;1;0;173;0.501449275
823;1;0;173;0.5
825;1;0;173;0.498559078
827;1;0;173;0.497126437
840;1;0;173;0.495702006
847;1;0;173;0.494285714
848;1;0;173;0.492877493
849;1;0;173;0.491477273
850;1;0;173;0.490084986
855;1;0;173;0.488700565
856;1;0;173;0.487323944
857;1;0;173;0.485955056
858;1;0;173;0.484593838
859;1;1;174;0.48603352
860;1;1;175;0.487465181
861;1;1;176;0.488888889
862;1;1;177;0.490304709
863;1;1;178;0.491712707
876;1;0;178;0.490358127
877;1;1;179;0.491758242
905;1;1;180;0.493150685
911;1;1;181;0.494535519
912;1;1;182;0.495912807
913;1;1;183;0.497282609
914;1;1;184;0.498644986
915;1;1;185;0.5
916;1;1;186;0.501347709
917;1;1;187;0.502688172
922;1;1;188;0.504021448
923;1;1;189;0.505347594
925;1;0;189;0.504
930;1;1;190;0.505319149
931;1;1;191;0.5066313
935;1;1;192;0.507936508
936;1;1;193;0.509234828
937;1;1;194;0.510526316
938;1;1;195;0.511811024
939;1;1;196;0.513089005
941;1;0;196;0.511749347
943;1;0;196;0.510416667
944;1;1;197;0.511688312
945;1;0;197;0.510362694
946;1;1;198;0.511627907
947;1;0;198;0.510309278
949;1;0;198;0.508997429
953;1;0;198;0.507692308
955;1;1;199;0.508951407
956;1;0;199;0.507653061
962;1;1;200;0.508905852
963;1;1;201;0.510152284
966;1;1;202;0.511392405
967;1;1;203;0.512626263
968;1;1;204;0.513853904
969;1;1;205;0.515075377
973;1;1;206;0.516290727
975;1;0;206;0.515
977;1;0;206;0.513715711
978;1;1;207;0.514925373
980;1;0;207;0.513647643
984;1;0;207;0.512376238
985;1;0;207;0.511111111
986;1;1;208;0.512315271
987;1;1;209;0.513513514
988;1;1;210;0.514705882
993;1;0;210;0.513447433
994;1;0;210;0.512195122
995;1;0;210;0.510948905
997;1;1;211;0.512135922
1001;1;1;212;0.513317191
1002;1;1;213;0.514492754
1003;1;1;214;0.515662651
1013;1;0;214;0.514423077
1014;1;1;215;0.51558753
1015;1;1;216;0.516746411
1016;1;0;216;0.515513126
1036;1;1;217;0.516666667
1037;1;0;217;0.51543943
1040;1;0;217;0.514218009
1041;1;1;218;0.51536643
1043;1;0;218;0.514150943
1049;1;1;219;0.515294118
1052;1;0;219;0.514084507
1053;1;1;220;0.515222482
1055;1;1;221;0.51635514
1060;1;0;221;0.515151515
1061;1;0;221;0.513953488
1064;1;1;222;0.515081206
1065;1;1;223;0.516203704
1066;1;1;224;0.517321016
1067;1;1;225;0.51843318
1068;1;1;226;0.51954023
1069;1;1;227;0.520642202
1071;1;1;228;0.52173913
1072;1;1;229;0.52283105
1074;1;1;230;0.523917995
1076;1;1;231;0.525
1077;1;1;232;0.526077098
1080;1;1;233;0.527149321
1081;1;1;234;0.528216704
1082;1;1;235;0.529279279
1084;1;1;236;0.530337079
1086;1;1;237;0.531390135
1088;1;1;238;0.532438479
1089;1;0;238;0.53125
1090;1;0;238;0.530066815
1093;1;0;238;0.528888889
1094;1;1;239;0.529933481
1095;1;1;240;0.530973451
1098;1;1;241;0.53200883
