linha;orange;coerencia;yield;precisao
1149;1;1;282;0.617067834
1151;1;1;283;0.61790393
1152;1;1;284;0.618736383
1155;1;0;284;0.617391304
1156;1;0;284;0.616052061
1157;1;1;285;0.616883117
1161;1;0;285;0.615550756
1162;1;0;285;0.614224138
1163;1;0;285;0.612903226
1164;1;0;285;0.611587983
1165;1;0;285;0.610278373
1166;1;0;285;0.608974359
1170;1;1;286;0.609808102
1179;1;1;287;0.610638298
1180;1;0;287;0.609341826
1181;1;1;288;0.610169492
1186;1;0;288;0.608879493
1187;1;1;289;0.609704641
1188;1;0;289;0.608421053
1189;1;1;290;0.609243697
7;1;0;290;0.607966457
8;1;0;290;0.606694561
10;1;1;291;0.607515658
12;1;1;292;0.608333333
14;1;1;293;0.609147609
15;1;1;294;0.609958506
16;1;0;294;0.608695652
20;1;0;294;0.607438017
21;1;0;294;0.606185567
22;1;0;294;0.604938272
23;1;0;294;0.603696099
25;1;1;295;0.604508197
27;1;1;296;0.605316973
29;1;1;297;0.606122449
30;1;1;298;0.606924644
31;1;0;298;0.605691057
32;1;1;299;0.606490872
33;1;0;299;0.605263158
36;1;0;299;0.604040404
37;1;1;300;0.60483871
39;1;1;301;0.605633803
41;1;1;302;0.606425703
42;1;1;303;0.607214429
43;1;0;303;0.606
44;1;1;304;0.606786427
45;1;0;304;0.605577689
48;1;0;304;0.604373757
49;1;1;305;0.60515873
51;1;1;306;0.605940594
53;1;1;307;0.606719368
54;1;1;308;0.607495069
55;1;0;308;0.606299213
56;1;1;309;0.607072692
57;1;0;309;0.605882353
60;1;0;309;0.604696673
61;1;1;310;0.60546875
63;1;1;311;0.606237817
65;1;1;312;0.607003891
66;1;1;313;0.60776699
67;1;0;313;0.606589147
68;1;1;314;0.607350097
69;1;0;314;0.606177606
72;1;0;314;0.605009634
73;1;1;315;0.605769231
74;1;1;316;0.606525912
75;1;1;317;0.607279693
77;1;0;317;0.606118547
78;1;1;318;0.606870229
79;1;1;319;0.607619048
87;1;1;320;0.608365019
88;1;1;321;0.609108159
