linha;dptOIE;coerencia;yield;precisao
1091;1;0;245;0.615577889
1092;1;0;245;0.614035088
1093;1;0;245;0.6125
1095;1;1;246;0.613466334
1096;1;1;247;0.614427861
1097;1;1;248;0.615384615
1099;1;1;249;0.616336634
1100;1;1;250;0.617283951
1101;1;1;251;0.618226601
1104;1;1;252;0.619164619
1112;1;1;253;0.620098039
1113;1;0;253;0.618581907
1114;1;1;254;0.619512195
1115;1;1;255;0.620437956
1116;1;0;255;0.618932039
1118;1;0;255;0.617433414
1120;1;0;255;0.615942029
1122;1;0;255;0.614457831
1123;1;0;255;0.612980769
1124;1;0;255;0.611510791
1125;1;0;255;0.610047847
1126;1;0;255;0.608591885
1129;1;1;256;0.60952381
1134;1;1;257;0.610451306
1136;1;0;257;0.609004739
1155;1;0;257;0.607565012
1156;1;0;257;0.606132075
1157;1;1;258;0.607058824
1170;1;1;259;0.607981221
1171;1;1;260;0.608899297
1173;1;1;261;0.609813084
1174;1;0;261;0.608391608
1180;1;0;261;0.606976744
1185;1;0;261;0.605568445
1186;1;0;261;0.604166667
12;1;1;262;0.605080831
25;1;1;263;0.605990783
28;1;1;264;0.606896552
29;1;1;265;0.607798165
30;1;1;266;0.608695652
31;1;0;266;0.607305936
32;1;1;267;0.608200456
33;1;0;267;0.606818182
37;1;1;268;0.607709751
40;1;1;269;0.608597285
41;1;1;270;0.609480813
42;1;1;271;0.61036036
43;1;0;271;0.608988764
44;1;1;272;0.609865471
45;1;0;272;0.608501119
49;1;1;273;0.609375
52;1;1;274;0.610244989
53;1;1;275;0.611111111
54;1;1;276;0.611973392
55;1;0;276;0.610619469
56;1;1;277;0.611479029
57;1;0;277;0.610132159
61;1;1;278;0.610989011
64;1;1;279;0.611842105
65;1;1;280;0.612691466
66;1;1;281;0.613537118
67;1;0;281;0.612200436
68;1;1;282;0.613043478
69;1;0;282;0.611713666
76;1;1;283;0.612554113
77;1;0;283;0.611231102
78;1;1;284;0.612068966
79;1;1;285;0.612903226
80;1;0;285;0.611587983
81;1;0;285;0.610278373
82;1;0;285;0.608974359
85;1;0;285;0.607675906
86;1;0;285;0.606382979
87;1;1;286;0.607218684
88;1;1;287;0.608050847
