linha;mquni;coerencia;yield;precisao
2;1;0;284;0.579591837
3;1;0;284;0.578411405
4;1;0;284;0.577235772
6;1;0;284;0.576064909
7;1;0;284;0.574898785
9;1;0;284;0.573737374
10;1;1;285;0.574596774
25;1;1;286;0.575452716
26;1;0;286;0.574297189
28;1;1;287;0.575150301
30;1;1;288;0.576
31;1;0;288;0.574850299
32;1;1;289;0.575697211
33;1;0;289;0.574552684
34;1;0;289;0.573412698
35;1;0;289;0.572277228
37;1;1;290;0.57312253
38;1;0;290;0.57199211
40;1;1;291;0.572834646
42;1;1;292;0.57367387
43;1;0;292;0.57254902
44;1;1;293;0.573385519
45;1;0;293;0.572265625
46;1;0;293;0.571150097
47;1;0;293;0.570038911
49;1;1;294;0.570873786
50;1;0;294;0.569767442
52;1;1;295;0.570599613
54;1;1;296;0.571428571
55;1;0;296;0.570327553
56;1;1;297;0.571153846
57;1;0;297;0.570057582
58;1;0;297;0.568965517
59;1;0;297;0.567877629
61;1;1;298;0.56870229
62;1;0;298;0.567619048
64;1;1;299;0.568441065
66;1;1;300;0.569259962
67;1;0;300;0.568181818
68;1;1;301;0.56899811
69;1;0;301;0.567924528
70;1;0;301;0.566854991
71;1;0;301;0.565789474
76;1;1;302;0.566604128
77;1;0;302;0.565543071
78;1;1;303;0.56635514
79;1;1;304;0.567164179
83;1;0;304;0.566108007
84;1;0;304;0.565055762
87;1;1;305;0.565862709
88;1;1;306;0.566666667
